head,tail,label,predict
Q1053300,Q5569650,NA,NA
Q6119589,Q481759,NA,NA
Q732455,Q104183,NA,NA
Q21527548,Q345468,NA,NA
Q1755547,Q213512,NA,operator
Q801183,Q663297,NA,NA
Q612971,Q50718,NA,performer
Q5545007,Q254106,NA,NA
Q6175461,Q543748,NA,NA
Q584025,Q5238454,NA,NA
Q584025,Q240233,NA,participant of
Q3430365,Q6247,NA,NA
Q2494793,Q4413096,NA,NA
Q794761,Q1189585,NA,NA
Q65111,Q1726,NA,NA
Q363644,Q426227,NA,NA
Q363644,Q152989,NA,NA
Q2635530,Q8423,NA,NA
Q788171,Q974863,NA,NA
Q1215049,Q268084,NA,NA
Q1168870,Q236718,NA,NA
Q1168870,Q104146,NA,NA
Q1168870,Q237805,NA,NA
Q16984218,Q242462,NA,NA
Q140686,Q188628,NA,NA
Q140686,Q188628,NA,NA
Q140686,Q188628,NA,NA
Q140686,Q188628,NA,NA
Q140686,Q188628,NA,NA
Q140686,Q188628,NA,participant of
Q140686,Q188628,NA,NA
Q140686,Q188628,NA,NA
Q140686,Q188628,NA,NA
Q140686,Q188628,NA,NA
Q140686,Q188628,NA,NA
Q140686,Q188628,NA,NA
Q140686,Q188628,NA,NA
Q140686,Q188628,NA,NA
Q140686,Q188628,NA,director
Q140686,Q188628,NA,NA
Q140686,Q188628,NA,tributary
Q140686,Q188628,NA,NA
Q140686,Q188628,NA,NA
Q140686,Q188628,NA,NA
Q140686,Q188628,NA,NA
Q636351,Q214793,NA,NA
Q1297666,Q4864740,NA,NA
Q14934766,Q534290,NA,NA
Q5466904,Q456055,NA,NA
Q5466904,Q1972958,NA,NA
Q5466904,Q1345794,NA,NA
Q2493447,Q1031997,NA,NA
Q334,Q131947,NA,NA
Q968640,Q6419627,NA,developer
Q4818161,Q568743,NA,developer
Q37064,Q361,NA,publisher
Q10335454,Q193019,NA,NA
Q7049902,Q4901126,NA,NA
Q4803141,Q5654381,NA,NA
Q886701,Q886390,NA,NA
Q1811748,Q1760190,NA,NA
Q125360,Q839750,NA,NA
Q8025799,Q2135,NA,NA
Q3815,Q242709,NA,NA
Q3815,Q471157,NA,NA
Q5250578,Q7111965,NA,NA
Q2445017,Q84,NA,NA
Q2349343,Q1651660,NA,NA
Q7768424,Q42204,NA,child
Q7768424,Q228717,NA,NA
Q264266,Q201970,NA,NA
Q4997490,Q7054881,NA,NA
Q1896773,Q207318,NA,architect
Q15635809,Q984634,NA,architect
Q304134,Q629539,NA,NA
Q7909301,Q5276736,NA,NA
Q7497734,Q1049699,NA,NA
Q628589,Q153018,NA,NA
Q628589,Q347879,NA,NA
Q628589,Q309631,NA,NA
Q628589,Q203804,NA,NA
Q1753824,Q37876,NA,NA
Q1753824,Q177311,NA,NA
Q1628056,Q534290,NA,NA
Q6691651,Q973456,NA,NA
Q6691651,Q261583,NA,NA
Q42013,Q1780431,NA,NA
Q17421383,Q8676,NA,NA
Q941961,Q60,NA,NA
Q624261,Q499174,NA,NA
Q624261,Q862684,NA,NA
Q1052425,Q5569650,NA,NA
Q15214706,Q80309,NA,NA
Q65047,Q1718,NA,NA
Q703918,Q322298,NA,NA
Q775718,Q771305,NA,NA
Q1130805,Q94247,NA,NA
Q1130805,Q94247,NA,NA
Q6348524,Q15088595,NA,participant of
Q102476,Q2100,NA,NA
Q464865,Q230296,NA,NA
Q464865,Q265031,NA,NA
Q464865,Q122473,NA,NA
Q15996021,Q362,NA,NA
Q7090612,Q253391,NA,NA
Q7127032,Q244451,NA,NA
Q4896444,Q1771722,NA,NA
Q897109,Q550498,NA,NA
Q6775351,Q362,NA,NA
Q1116360,Q5569650,NA,NA
Q1116360,Q1052361,NA,NA
Q1868690,Q803173,NA,participant of
Q1228836,Q50753,NA,main subject
Q1228836,Q50754,NA,NA
Q1649850,Q211265,NA,NA
Q107696,Q1720,NA,NA
Q298394,Q361,NA,NA
Q2703859,Q347879,NA,NA
Q2031748,Q3484904,NA,NA
Q18043917,Q38,NA,NA
Q7097236,Q362,NA,NA
Q298784,Q151005,NA,NA
Q1917116,Q361,NA,NA
Q21621899,Q34932,NA,NA
Q1101794,Q311716,NA,NA
Q3598832,Q362,NA,NA
Q11938006,Q489890,NA,NA
Q6307245,Q15282,NA,NA
Q1549562,Q203030,NA,part of
Q336282,Q172,NA,NA
Q3424333,Q339896,NA,NA
Q1909318,Q2437344,NA,NA
Q4799733,Q308439,NA,NA
Q7746567,Q229560,NA,NA
Q7150656,Q955174,NA,NA
Q137814,Q564868,NA,NA
Q488348,Q17501,NA,NA
Q488348,Q17501,NA,NA
Q1758698,Q1633021,NA,NA
Q1758698,Q6503,NA,NA
Q1758698,Q677122,NA,NA
Q1758698,Q1500303,NA,NA
Q1316913,Q1187520,NA,NA
Q1316913,Q935099,NA,NA
Q1316913,Q869325,NA,NA
Q2367540,Q3711,NA,NA
Q4133331,Q123070,NA,NA
Q4549789,Q1058767,NA,NA
Q1345100,Q37230,NA,NA
Q644880,Q26013,NA,NA
Q823881,Q867675,NA,NA
Q1354290,Q748780,NA,NA
Q5427483,Q326931,NA,NA
Q5427483,Q672227,NA,NA
Q5427483,Q641943,NA,NA
Q5427483,Q1423403,NA,NA
Q451558,Q183532,NA,NA
Q451558,Q95026,NA,NA
Q83656,Q310324,NA,NA
Q83656,Q58444,NA,NA
Q17484171,Q157134,NA,NA
Q231093,Q752297,NA,NA
Q202141,Q267097,NA,operator
Q996591,Q989339,NA,NA
Q3712651,Q121655,NA,main subject
Q3712651,Q978990,NA,NA
Q5357267,Q667927,NA,NA
Q37505,Q932289,NA,participant of
Q5335356,Q362,NA,NA
Q174438,Q942842,NA,NA
Q5366300,Q20657464,NA,director
Q5366300,Q20657464,NA,NA
Q3134170,Q362,NA,NA
Q6128586,Q361,NA,operator
Q809080,Q34932,NA,NA
Q6869426,Q528496,NA,NA
Q6869426,Q3519791,NA,NA
Q7759596,Q4492369,NA,NA
Q14935252,Q7983583,NA,NA
Q14935252,Q7983583,NA,main subject
Q7355329,Q60,NA,part of
Q2675833,Q1101,NA,NA
Q842897,Q843201,NA,NA
Q842897,Q843201,NA,NA
Q842897,Q843201,NA,operator
Q752365,Q170574,NA,director
Q1136378,Q11404476,NA,NA
Q1136378,Q11404476,NA,NA
Q1136378,Q1037409,NA,NA
Q4643515,Q362,NA,main subject
Q3441982,Q2933,NA,operator
Q7943365,Q4832533,NA,operator
Q8006587,Q361,NA,operator
Q7709990,Q3534190,NA,NA
Q7709990,Q3523130,NA,screenwriter
Q8062246,Q386495,NA,NA
Q10292632,Q367129,NA,NA
Q758178,Q913753,NA,NA
Q758178,Q1227,NA,NA
Q1159045,Q362,NA,NA
Q200085,Q361,NA,NA
Q200085,Q94916,NA,NA
Q7241376,Q2994121,NA,participant of
Q333560,Q32929,NA,NA
Q4419843,Q164983,NA,NA
Q689827,Q106123,NA,main subject
Q521858,Q455624,NA,participant of
Q2254398,Q4923420,NA,located in the administrative territorial entity
Q1146246,Q314892,NA,NA
Q106961,Q362,NA,NA
Q816119,Q244451,NA,NA
Q3629480,Q987,NA,NA
Q255941,Q361,NA,NA
Q571358,Q362,NA,NA
Q12126717,Q1699902,NA,NA
Q6187971,Q7388227,NA,NA
Q4150130,Q157144,NA,NA
Q4389839,Q717997,NA,NA
Q213379,Q362,NA,NA
Q7324768,Q49142,NA,NA
Q1784247,Q50753,NA,main subject
Q4948436,Q19893471,NA,NA
Q633894,Q79872,NA,NA
Q872288,Q5052448,NA,screenwriter
Q6156935,Q738275,NA,NA
Q6156935,Q328000,NA,NA
Q6748439,Q834834,NA,NA
Q3032799,Q527464,NA,NA
Q3032799,Q527464,NA,NA
Q3032799,Q527464,NA,NA
Q6929910,Q7155050,NA,NA
Q2504531,Q568743,NA,NA
Q18942235,Q268,NA,NA
Q7965475,Q362,NA,NA
Q3840540,Q104340,NA,participant of
Q1350887,Q1731,NA,operator
Q1436100,Q244451,NA,NA
Q659709,Q134674,NA,NA
Q659709,Q7880,NA,NA
Q100817,Q20393,NA,NA
Q15996032,Q362,NA,NA
Q1281259,Q362,NA,NA
Q31915,Q1321037,NA,NA
Q6469544,Q2050534,NA,NA
Q4336881,Q79911,NA,NA
Q20684742,Q987,NA,NA
Q551343,Q232451,NA,NA
Q551343,Q9535,NA,NA
Q551343,Q3021147,NA,NA
Q7870473,Q362,NA,NA
Q133654,Q235725,NA,NA
Q1631745,Q23197,NA,NA
Q16197417,Q214126,NA,NA
Q7357017,Q254106,NA,NA
Q936327,Q191966,NA,NA
Q423644,Q5753,NA,NA
Q178094,Q255268,NA,NA
Q848386,Q133001,NA,child
Q5252698,Q477142,NA,NA
Q3970182,Q3743684,NA,NA
Q1195998,Q103949,NA,NA
Q1754980,Q193815,NA,NA
Q2428730,Q2887556,NA,NA
Q50011,Q17488,NA,NA
Q161885,Q165762,NA,NA
Q161885,Q41614,NA,NA
Q5546789,Q7880,NA,NA
Q304286,Q148044,NA,NA
Q466151,Q78994,NA,NA
Q2494482,Q4413096,NA,NA
Q68859,Q22910,NA,NA
Q68859,Q17501,NA,NA
Q4949171,Q71275,NA,operator
Q1103061,Q109063,NA,NA
Q12312492,Q1960509,NA,NA
Q76824,Q137042,NA,screenwriter
Q76824,Q76895,NA,NA
Q600205,Q16472,NA,main subject
Q600205,Q484881,NA,NA
Q11003376,Q331050,NA,NA
Q5344692,Q362,NA,NA
Q1851424,Q60,NA,NA
Q1012560,Q877080,NA,NA
Q1012560,Q7494820,NA,operator
Q4355457,Q985297,NA,NA
Q202444,Q1076664,NA,director
Q4840343,Q445302,NA,operator
Q2061752,Q1370520,NA,NA
Q2358,Q501866,NA,NA
Q2358,Q459282,NA,NA
Q4080515,Q618616,NA,NA
Q4080515,Q312073,NA,NA
Q4080515,Q234640,NA,NA
Q731670,Q465312,NA,NA
Q2061237,Q436638,NA,NA
Q2061237,Q232395,NA,NA
Q2061237,Q725874,NA,NA
Q4547794,Q361,NA,NA
Q2056503,Q1826679,NA,NA
Q3187969,Q1781,NA,NA
Q337375,Q539528,NA,manufacturer
Q325592,Q473234,NA,NA
Q41493467,Q42101,NA,NA
Q4808670,Q3635516,NA,NA
Q6825196,Q1350854,NA,NA
Q6672492,Q3595480,NA,NA
Q260509,Q3400399,NA,NA
Q16017833,Q362,NA,NA
Q1470679,Q362,NA,NA
Q1854829,Q594532,NA,NA
Q7874348,Q362,NA,NA
Q892718,Q886390,NA,NA
Q772771,Q3239689,NA,NA
Q3209606,Q299302,NA,NA
Q232091,Q53002,NA,NA
Q323472,Q164119,NA,operator
Q2237004,Q1463614,NA,NA
Q5190208,Q623450,NA,NA
Q1229917,Q540802,NA,NA
Q16862534,Q16867338,NA,NA
Q2485163,Q5557977,NA,NA
Q43285415,Q158485,NA,NA
Q672941,Q634291,NA,NA
Q1187835,Q1364115,NA,NA
Q1187835,Q900665,NA,NA
Q571446,Q50748,NA,NA
Q214427,Q40949,NA,NA
Q458051,Q1108196,NA,NA
Q6284649,Q1342,NA,NA
Q4979569,Q7898275,NA,NA
Q497944,Q20280,NA,NA
Q2960698,Q8628,NA,NA
Q8025803,Q2135,NA,NA
Q909802,Q18938,NA,NA
Q5589009,Q5588713,NA,NA
Q16106017,Q184579,NA,NA
Q1065854,Q358664,NA,NA
Q7680759,Q989358,NA,NA
Q7680759,Q989347,NA,NA
Q3002486,Q2400783,NA,NA
Q20972843,Q5456068,NA,NA
Q1136568,Q935099,NA,NA
Q85594,Q362,NA,NA
Q135607,Q803497,NA,NA
Q1323500,Q181678,NA,NA
Q10998279,Q465830,NA,NA
Q10998279,Q1974722,NA,NA
Q5883381,Q1609753,NA,NA
Q119301,Q1193436,NA,NA
Q119301,Q910359,NA,NA
Q4996805,Q614907,NA,NA
Q4996805,Q1373345,NA,NA
Q3844198,Q4018996,NA,NA
Q838154,Q73346,NA,operator
Q838154,Q191828,NA,NA
Q838154,Q222833,NA,NA
Q4396568,Q361,NA,NA
Q2983544,Q39792,NA,NA
Q2505803,Q568743,NA,NA
Q2547861,Q834482,NA,participant of
Q1581676,Q263305,NA,operator
Q3882220,Q132821,NA,NA
Q548978,Q178882,NA,NA
Q2722053,Q8692,NA,NA
Q1133230,Q6963169,NA,NA
Q59721,Q55172,NA,NA
Q3445764,Q340,NA,NA
Q233763,Q362,NA,NA
Q5315638,Q6851037,NA,participant of
Q727643,Q361,NA,main subject
Q5366748,Q48320,NA,NA
Q4280455,Q533235,NA,NA
Q7916304,Q579854,NA,NA
Q25588110,Q3595178,NA,participating team
Q600950,Q509117,NA,NA
Q600950,Q83492,NA,NA
Q5858208,Q44217,NA,NA
Q833218,Q10859,NA,NA
Q833218,Q151384,NA,work location
Q652324,Q1253001,NA,performer
Q26711946,Q15028,NA,operator
Q960579,Q2080114,NA,participant of
Q778706,Q434585,NA,NA
Q945586,Q7492560,NA,NA
Q7101235,Q241935,NA,director
Q946561,Q382036,NA,NA
Q660190,Q294927,NA,NA
Q2442219,Q2373436,NA,NA
Q910653,Q1040703,NA,NA
Q2214113,Q5203575,NA,NA
Q49094,Q92530,NA,NA
Q49094,Q45086,NA,NA
Q7326615,Q1297,NA,NA
Q188720,Q30096,NA,NA
Q432087,Q37643,NA,NA
Q6795780,Q26013,NA,NA
Q18348652,Q824192,NA,NA
Q10345240,Q3151725,NA,NA
Q12336198,Q2624973,NA,operator
Q6393634,Q874503,NA,NA
Q6393634,Q874503,NA,NA
Q691528,Q739052,NA,NA
Q15901539,Q229048,NA,NA
Q5224558,Q1034500,NA,NA
Q1606848,Q129864,NA,NA
Q73759,Q162049,NA,NA
Q4043364,Q1783607,NA,director
Q345420,Q203225,NA,NA
Q1443056,Q1720,NA,NA
Q3069617,Q10690,NA,NA
Q1988321,Q77233,NA,NA
Q800842,Q802186,NA,NA
Q2497714,Q5230842,NA,NA
Q1652890,Q1043806,NA,NA
Q3536737,Q2363587,NA,NA
Q3492283,Q362,NA,NA
Q371257,Q477653,NA,NA
Q960348,Q244451,NA,NA
Q86576,Q361,NA,NA
Q15052432,Q519606,NA,NA
Q5618358,Q356309,NA,NA
Q1129186,Q6128779,NA,NA
Q1129186,Q520001,NA,NA
Q782634,Q1792,NA,NA
Q491568,Q42147,NA,NA
Q620472,Q362,NA,NA
Q20919,Q17200,NA,NA
Q7372923,Q10717,NA,NA
Q5458619,Q7898275,NA,NA
Q789988,Q753905,NA,NA
Q789988,Q2914477,NA,NA
Q789988,Q453956,NA,NA
Q4649619,Q23436,NA,NA
Q255299,Q76478,NA,NA
Q1724012,Q26372,NA,mouth of the watercourse
Q1993052,Q95019,NA,NA
Q1993052,Q366956,NA,NA
Q2509829,Q308840,NA,NA
Q3559315,Q182062,NA,participant of
Q956346,Q108366,NA,NA
Q682520,Q23306,NA,NA
Q682520,Q23306,NA,NA
Q682520,Q23306,NA,NA
Q1114345,Q484881,NA,NA
Q3761029,Q362,NA,NA
Q559283,Q216622,NA,NA
Q2131874,Q2982124,NA,NA
Q923881,Q16017,NA,NA
Q800424,Q1078478,NA,NA
Q949898,Q15149663,NA,NA
Q7456705,Q248445,NA,NA
Q463697,Q1198123,NA,NA
Q2016811,Q750815,NA,NA
Q2026023,Q346411,NA,NA
Q2026023,Q234773,NA,NA
Q1053354,Q5569650,NA,NA
Q1549954,Q36970,NA,NA
Q1549954,Q445608,NA,NA
Q1549954,Q311219,NA,NA
Q6353283,Q278006,NA,NA
Q6353283,Q2050534,NA,architect
Q659439,Q316658,NA,NA
Q937693,Q2519355,NA,NA
Q5530068,Q7916369,NA,NA
Q7207802,Q704426,NA,NA
Q938137,Q145132,NA,NA
Q938137,Q104146,NA,NA
Q3180031,Q362,NA,NA
Q886844,Q680911,NA,NA
Q959483,Q294372,NA,work location
Q959483,Q313039,NA,NA
Q558738,Q1514908,NA,NA
Q558738,Q184637,NA,NA
Q3014145,Q44903,NA,NA
Q332368,Q181678,NA,NA
Q3623566,Q104095,NA,NA
Q637769,Q49001,NA,NA
Q5120529,Q470188,NA,NA
Q3047275,Q1341845,NA,NA
Q257026,Q189266,NA,NA
Q699692,Q92161,NA,NA
Q4573566,Q691685,NA,NA
Q1631795,Q182580,NA,NA
Q192615,Q46083,NA,NA
Q1174685,Q8663,NA,NA
Q3771748,Q3229507,NA,NA
Q758198,Q159288,NA,participant of
Q1263880,Q34012,NA,tributary
Q2946154,Q34,NA,NA
Q1131556,Q177984,NA,NA
Q2492340,Q4955209,NA,NA
Q3406570,Q2288,NA,NA
Q1865158,Q3296781,NA,participant of
Q841861,Q1323112,NA,NA
Q4638264,Q29122,NA,NA
Q3331470,Q1577458,NA,NA
Q3331470,Q165305,NA,NA
Q560515,Q79980,NA,NA
Q32491,Q6478,NA,NA
Q32491,Q6387,NA,NA
Q32491,Q6423,NA,director
Q32491,Q5830,NA,participant of
Q32491,Q5830,NA,NA
Q32491,Q5830,NA,NA
Q32491,Q5830,NA,NA
Q32491,Q5830,NA,NA
Q32491,Q5830,NA,NA
Q32491,Q5830,NA,NA
Q32491,Q5830,NA,NA
Q32491,Q906937,NA,NA
Q63879,Q1540185,NA,screenwriter
Q15109546,Q845015,NA,NA
Q425679,Q26119,NA,NA
Q536524,Q649,NA,NA
Q1193488,Q242853,NA,NA
Q1735699,Q551411,NA,country of citizenship
Q1735699,Q241686,NA,NA
Q1735699,Q45563,NA,NA
Q1345242,Q367653,NA,NA
Q902778,Q349487,NA,operator
Q4799880,Q79750,NA,NA
Q242,Q203016,NA,NA
Q7132335,Q23280360,NA,NA
Q1268550,Q342581,NA,NA
Q34213723,Q7135164,NA,NA
Q1128867,Q165518,NA,participant of
Q23644362,Q26856861,NA,NA
Q3284368,Q555578,NA,NA
Q58919,Q497511,NA,NA
Q33323,Q723011,NA,participant of
Q7762771,Q315202,NA,member of political party
Q14948487,Q3530125,NA,NA
Q3264446,Q642623,NA,NA
Q18200409,Q21116852,NA,NA
Q18200409,Q58444,NA,NA
Q18200409,Q234447,NA,NA
Q800507,Q525056,NA,NA
Q1431057,Q205355,NA,NA
Q4877273,Q1563,NA,NA
Q168674,Q1022,NA,NA
Q18209692,Q6957685,NA,NA
Q4719283,Q361,NA,NA
Q4719283,Q215112,NA,NA
Q5779359,Q25287,NA,NA
Q5041453,Q78994,NA,NA
Q614762,Q614889,NA,NA
Q614762,Q614889,NA,NA
Q2665305,Q2667397,NA,NA
Q2665305,Q2667397,NA,part of
Q2665305,Q2667397,NA,NA
Q2665305,Q2667397,NA,NA
Q2665305,Q2667397,NA,NA
Q2665305,Q2667397,NA,NA
Q2665305,Q2667397,NA,NA
Q2665305,Q2667397,NA,NA
Q2665305,Q2667397,NA,owned by
Q2665305,Q2667397,NA,NA
Q2665305,Q2667397,NA,NA
Q2665305,Q2667397,NA,NA
Q2665305,Q2667397,NA,NA
Q2665305,Q2667397,NA,NA
Q2665305,Q2667397,NA,main subject
Q2665305,Q2667397,NA,NA
Q2665305,Q2667397,NA,NA
Q2680383,Q1592424,NA,NA
Q4553076,Q362,NA,NA
Q487505,Q50741,NA,NA
Q21073373,Q25457,NA,NA
Q167613,Q20280,NA,NA
Q34502,Q525960,NA,NA
Q7890741,Q362,NA,NA
Q3701478,Q1065949,NA,NA
Q60744,Q1748,NA,NA
Q7846947,Q4906949,NA,NA
Q899270,Q1151791,NA,screenwriter
Q6259386,Q80330,NA,NA
Q787837,Q4925393,NA,NA
Q1041606,Q54369,NA,NA
Q30931,Q230004,NA,NA
Q30931,Q40103,NA,NA
Q15527073,Q658756,NA,NA
Q470260,Q60,NA,NA
Q39,Q512187,NA,NA
Q7710302,Q7532374,NA,NA
Q7710302,Q3532507,NA,NA
Q6224734,Q361,NA,located in the administrative territorial entity
Q221075,Q202589,NA,NA
Q1913705,Q361,NA,NA
Q782740,Q5280508,NA,NA
Q12730072,Q19660,NA,NA
Q7547593,Q6035995,NA,NA
Q7547593,Q539237,NA,NA
Q7547593,Q2050534,NA,NA
Q7547593,Q4907283,NA,NA
Q457369,Q579971,NA,screenwriter
Q461746,Q37320,NA,NA
Q149431,Q343059,NA,NA
Q149431,Q104514,NA,NA
Q5434725,Q1156,NA,NA
Q647546,Q129817,NA,NA
Q563069,Q570401,NA,NA
Q369094,Q334195,NA,NA
Q15323278,Q419406,NA,country of citizenship
Q2846687,Q362,NA,operator
Q1116541,Q78508,NA,NA
Q1138011,Q104514,NA,NA
Q1252842,Q217568,NA,NA
Q1318050,Q181413,NA,NA
Q506661,Q42229,NA,NA
Q329426,Q984356,NA,NA
Q329426,Q2378292,NA,NA
Q341134,Q3101530,NA,NA
Q341134,Q7070408,NA,NA
Q341134,Q3494350,NA,NA
Q341134,Q7070286,NA,NA
Q4718560,Q8676,NA,NA
Q14984399,Q3044721,NA,NA
Q67433,Q362,NA,NA
Q5510458,Q872540,NA,NA
Q539149,Q17014422,NA,NA
Q807242,Q23768,NA,NA
Q807242,Q79889,NA,NA
Q807242,Q807704,NA,tributary
Q807242,Q94247,NA,NA
Q16363710,Q362,NA,NA
Q311080,Q2017254,NA,NA
Q311080,Q1143044,NA,director
Q7747967,Q347879,NA,NA
Q3334846,Q180717,NA,NA
Q6850755,Q3351697,NA,NA
Q2433976,Q4926022,NA,NA
Q4709840,Q8676,NA,NA
Q520481,Q614995,NA,NA
Q1390567,Q25411,NA,NA
Q7577515,Q572867,NA,NA
Q4794871,Q361,NA,NA
Q10730356,Q728802,NA,NA
Q1147079,Q112536,NA,participant of
Q1147079,Q83287,NA,NA
Q4751237,Q320115,NA,operator
Q3465283,Q312092,NA,NA
Q2682637,Q62266,NA,NA
Q15956708,Q16239393,NA,NA
Q128910,Q236853,NA,NA
Q4860068,Q7283589,NA,NA
Q4860068,Q290438,NA,screenwriter
Q7528264,Q80330,NA,NA
Q533801,Q362,NA,NA
Q4766749,Q1345,NA,NA
Q1045165,Q193653,NA,NA
Q6455333,Q6374313,NA,NA
Q1760251,Q2928428,NA,NA
Q320438,Q23436,NA,NA
Q865907,Q452019,NA,NA
Q1501765,Q229338,NA,NA
Q1501765,Q83410,NA,NA
Q1786200,Q777060,NA,NA
Q15999282,Q1425428,NA,NA
Q4076482,Q1874,NA,screenwriter
Q470560,Q290666,NA,NA
Q433440,Q1542647,NA,tributary
Q2747647,Q1143261,NA,tributary
Q470330,Q295257,NA,tributary
Q84441,Q362,NA,tributary
Q3544553,Q3544570,NA,tributary
Q1210020,Q212,NA,NA
Q280505,Q203000,NA,NA
Q649184,Q205355,NA,NA
Q11875457,Q3544570,NA,NA
Q1039190,Q10704,NA,NA
Q47525176,Q106175,NA,NA
Q2110297,Q1295698,NA,NA
Q836761,Q834834,NA,NA
Q1571956,Q3632712,NA,NA
Q1326701,Q2485344,NA,NA
Q799041,Q5110412,NA,NA
Q799041,Q5110412,NA,NA
Q19974802,Q22901,NA,NA
Q3549812,Q1718605,NA,NA
Q3549812,Q231595,NA,NA
Q1138000,Q231004,NA,NA
Q1112073,Q362,NA,NA
Q316403,Q802445,NA,NA
Q6514985,Q486704,NA,NA
Q7439765,Q149389,NA,NA
Q3970646,Q205158,NA,NA
Q241218,Q16297,NA,NA
Q490333,Q656,NA,NA
Q28121771,Q18325203,NA,NA
Q17264777,Q6553099,NA,applies to jurisdiction
Q527598,Q1496463,NA,applies to jurisdiction
Q603082,Q9535,NA,applies to jurisdiction
Q603082,Q147395,NA,applies to jurisdiction
Q3284961,Q451811,NA,NA
Q1064944,Q78994,NA,NA
Q2349200,Q4935107,NA,NA
Q335143,Q63431,NA,NA
Q335143,Q1343040,NA,NA
Q2849526,Q132679,NA,NA
Q24251138,Q794,NA,work location
Q18572827,Q8676,NA,NA
Q20972477,Q755587,NA,instance of
Q20972477,Q755587,NA,operator
Q1197,Q572331,NA,NA
Q556844,Q529164,NA,NA
Q16670788,Q554412,NA,NA
Q3159051,Q340,NA,NA
Q3522583,Q3294171,NA,operator
Q99634,Q849697,NA,NA
Q827380,Q361,NA,NA
Q887532,Q5153500,NA,NA
Q887532,Q5610422,NA,NA
Q887532,Q6515675,NA,NA
Q1243374,Q105987,NA,NA
Q1243374,Q5443,NA,NA
Q558965,Q51914,NA,NA
Q5959771,Q8039099,NA,NA
Q2612610,Q2373436,NA,NA
Q646354,Q238081,NA,NA
Q646354,Q515632,NA,NA
Q798308,Q79733,NA,NA
Q798308,Q858801,NA,operator
Q7080500,Q3124846,NA,NA
